treatment	OTU	Phylum	Class	Order	Family	Genus	Maximum log2 fold change	C source bioavailability	C assimilation Latency
Cellulose Day 30	OTU.637	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	5.39955087062634	43.6666666666667	1.89452658911289
Cellulose Day 30	OTU.6379	Proteobacteria	Deltaproteobacteria	Myxococcales	Sorangiineae	uncultured	5.02561096804816	38	1.09861228866811
Cellulose Day 30	OTU.639	Actinobacteria	Acidimicrobiia	Acidimicrobiales	uncultured	uncultured_bacterium	0.68799412243127	42	1.90333124488516
Cellulose Day 30	OTU.642	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29_marine_group	1.00606210859108	38	1.09861228866811
Cellulose Day 30	OTU.6462	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	5.94247712571711	43.6666666666667	1.89452658911289
Cellulose Day 30	OTU.650	Actinobacteria	Acidimicrobiia	Acidimicrobiales	uncultured	NA	0.421067305068457	42.5	1.86883480914168
Cellulose Day 30	OTU.652	Actinobacteria	Acidimicrobiia	Acidimicrobiales	uncultured	uncultured_bacterium	1.09708498270791	39.6666666666667	1.49993655677675
Cellulose Day 30	OTU.653	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	5.35167805322549	36	0.930376170357503
Cellulose Day 30	OTU.6619	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	0.524445698257793	36	0.549306144334055
Cellulose Day 30	OTU.667	Verrucomicrobia	Spartobacteria	Chthoniobacterales	FukuN18_freshwater_group	uncultured_bacterium	4.65115489978555	38	0.336472236621213
Cellulose Day 30	OTU.6836	Chloroflexi	Thermomicrobia	JG30-KF-CM45	uncultured_bacterium	NA	4.1559186450206	36	0.930376170357503
Cellulose Day 30	OTU.69	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	1.66202770148809	42.7142857142857	1.38007969625566
Cellulose Day 30	OTU.6981	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	4.48273214034723	43.6666666666667	1.89452658911289
Cellulose Day 30	OTU.7006	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	5.25023544826105	44	1.42089494183467
Cellulose Day 30	OTU.707	Chloroflexi	Thermomicrobia	JG30-KF-CM45	uncultured_bacterium	NA	3.49531121372644	43.6666666666667	1.89452658911289
Cellulose Day 30	OTU.7159	Chloroflexi	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	uncultured_Chloroflexi_bacterium	3.26832908051866	36	0.549306144334055
Cellulose Day 30	OTU.7208	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	5.40667390385329	40	0.972955074527657
Cellulose Day 30	OTU.7211	Chloroflexi	Thermomicrobia	JG30-KF-CM45	uncultured_bacterium	NA	0.688021394262372	41.25	1.61142995484639
Cellulose Day 30	OTU.7260	Verrucomicrobia	OPB35_soil_group	NA	NA	NA	0	42	2.13833305950803
Cellulose Day 30	OTU.728	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	1.00602980578961	38	1.09861228866811
Cellulose Day 30	OTU.733	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	0	38	1.09861228866811
Cellulose Day 30	OTU.7336	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	0	36	0.549306144334055
Cellulose Day 30	OTU.7368	Acidobacteria	Candidatus_Chloracidobacterium	uncultured_bacterium	NA	NA	5.25316161079294	36	1.16537798498037
Cellulose Day 30	OTU.7445	Acidobacteria	DA023	NA	NA	NA	0	42	1.52226121886171
Cellulose Day 30	OTU.7447	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	NA	NA	2.37851718725244	38	1.09861228866811
Cellulose Day 30	OTU.7465	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	6.63673147920899	44.25	2.09790749211022
Cellulose Day 30	OTU.7509	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	0	36	0.168236118310606
Cellulose Day 30	OTU.752	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	7.70132208357294	43.125	1.05959847209765
Cellulose Day 30	OTU.755	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	5.22291978975007	38	1.09861228866811
Cellulose Day 30	OTU.757	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	5.81926412209813	38	1.09861228866811
Cellulose Day 30	OTU.76	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	3.28633856461105	41	0.650672421361096
Cellulose Day 30	OTU.7633	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Legionella	3.71540027875506	38	1.09861228866811
Cellulose Day 30	OTU.766	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pirellula	6.71130210729197	38	0.336472236621213
Cellulose Day 30	OTU.78	Actinobacteria	Micrococcales	Cellulomonadaceae	Cellulomonas	NA	1.4120686642326	44	1.51209940898141
Cellulose Day 30	OTU.79	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Cellvibrio	3.4313550057429	43.3333333333333	1.12699822478155
Cellulose Day 30	OTU.7907	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	0	43.6666666666667	1.64047990509726
Cellulose Day 30	OTU.7941	Actinobacteria	Corynebacteriales	Nocardiaceae	Rhodococcus	NA	1.83408588685113	43.6666666666667	1.01484081257447
Cellulose Day 30	OTU.7952	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	4.32331181327367	44	2.12557564929954
Cellulose Day 30	OTU.797	Armatimonadetes	NA	NA	NA	NA	3.62827549896867	36	0.930376170357503
Cellulose Day 30	OTU.7991	Actinobacteria	Acidimicrobiia	Acidimicrobiales	TM214	uncultured_bacterium	0	38	1.09861228866811
Cellulose Day 30	OTU.7993	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	4.80785301640238	36	0.930376170357503
Cellulose Day 30	OTU.8	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	NA	7.80890373627665	41.6	1.12291737917035
Cellulose Day 30	OTU.8034	Chloroflexi	TK10	uncultured_bacterium	NA	NA	3.95515008058898	39.3333333333333	1.67960205702098
Cellulose Day 30	OTU.8086	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	1.00598566980366	43.6666666666667	1.89452658911289
Cellulose Day 30	OTU.813	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Sporocytophaga	0	41	1.74617908002957
Cellulose Day 30	OTU.815	Actinobacteria	Acidimicrobiia	Acidimicrobiales	TM214	uncultured_bacterium	0	38	1.09861228866811
Cellulose Day 30	OTU.82	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Flavihumibacter	6.52706389345419	39.6666666666667	0.732408192445406
Cellulose Day 30	OTU.8240	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	NA	7.57062453458912	42	0.752038698388137
Cellulose Day 30	OTU.825	Actinobacteria	Acidimicrobiia	Acidimicrobiales	uncultured	NA	0	38	1.09861228866811
Cellulose Day 30	OTU.8341	Verrucomicrobia	Spartobacteria	Chthoniobacterales	LD29	NA	5.37716977405316	36	0.549306144334055
Cellulose Day 30	OTU.84	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bosea	3.09012611957066	41.4	0.984287943058357
Cellulose Day 30	OTU.8409	Verrucomicrobia	Spartobacteria	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	5.57871919456595	43.6666666666667	1.89452658911289
Cellulose Day 30	OTU.8411	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	3.63572541856555	39.6666666666667	0.963457252632055
Cellulose Day 30	OTU.8493	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flexibacter	5.68117530838878	36	0.168236118310606
Cellulose Day 30	OTU.8549	Proteobacteria	Alphaproteobacteria	Sphingomonadales	NA	NA	0	39.3333333333333	1.42555537300535
Cellulose Day 30	OTU.86	Nitrospirae	Nitrospira	Nitrospirales	0319-6A21	uncultured_bacterium	0.96978652721326	43.8	1.84778556576562
Cellulose Day 30	OTU.8625	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	3.8268615437551	36	0.930376170357503
Cellulose Day 30	OTU.878	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	4.68739261778687	42.5	1.48776478311824
Cellulose Day 30	OTU.885	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Aquicella	5.14056356420171	38	1.09861228866811
Cellulose Day 30	OTU.89	Proteobacteria	Alphaproteobacteria	Sphingomonadales	NA	NA	2.87131263759519	40.25	0.532057926462317
Cellulose Day 30	OTU.8923	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	4.50180014895992	36	0.549306144334055
Cellulose Day 30	OTU.896	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	NA	0.53144964248221	42.5	0.549306144334055
Cellulose Day 30	OTU.898	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	3.27292385042255	38	1.09861228866811
Cellulose Day 30	OTU.899	Proteobacteria	Deltaproteobacteria	Myxococcales	Sorangiineae	Sandaracinaceae	5.1430211049325	36	0.549306144334055
Cellulose Day 30	OTU.9048	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	3.8368728266207	39.3333333333333	1.26888749659011
Cellulose Day 30	OTU.907	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	0.18322648579264	38	1.09861228866811
Cellulose Day 30	OTU.9087	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	6.80860089418071	39.6666666666667	1.49993655677675
Cellulose Day 30	OTU.9156	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	5.8430568268998	42	1.52226121886171
Cellulose Day 30	OTU.9169	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonospora	NA	3.4636170727173	42	1.52226121886171
Cellulose Day 30	OTU.917	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	Caldilinea	2.41896011425009	38	1.09861228866811
Cellulose Day 30	OTU.919	Proteobacteria	Deltaproteobacteria	Myxococcales	Sorangiineae	Sandaracinaceae	2.14746239156274	38	1.09861228866811
Cellulose Day 30	OTU.920	Chloroflexi	Thermomicrobia	JG30-KF-CM45	uncultured_bacterium	NA	0	38	1.09861228866811
Cellulose Day 30	OTU.93	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	CL500-29_marine_group	0.0197381577584363	42.8333333333333	1.28308046464682
Cellulose Day 30	OTU.932	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Terrimonas	1.83397995497483	36	0.549306144334055
Cellulose Day 30	OTU.9378	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	2.86337390382523	36	0.549306144334055
Cellulose Day 30	OTU.942	Proteobacteria	Alphaproteobacteria	Rhodospirillales	wr0007	NA	5.13518887721518	38	0.336472236621213
Cellulose Day 30	OTU.9510	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	4.48638128094337	43.4444444444444	0.770704748426006
Cellulose Day 30	OTU.952	Bacteroidetes	VC2.1_Bac22	uncultured_bacterium	NA	NA	4.6284786577349	42.2	1.83075400409756
Cellulose Day 30	OTU.958	Chloroflexi	Thermomicrobia	JG30-KF-CM45	uncultured_bacterium	NA	1.91039284899124	43.6666666666667	1.64047990509726
Cellulose Day 30	OTU.9625	Actinobacteria	Acidimicrobiia	Acidimicrobiales	TM214	uncultured_bacterium	6.75071144984317	36	0.930376170357503
Cellulose Day 30	OTU.964	Armatimonadetes	uncultured_bacterium	NA	NA	NA	5.12504086803795	36	0.930376170357503
Cellulose Day 30	OTU.9711	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	3.26789492922907	43.4444444444444	0.770704748426006
Cellulose Day 30	OTU.98	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	0.730942572033572	43.1428571428571	0.942838642744691
Cellulose Day 30	OTU.9805	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	0	43.6666666666667	1.89452658911289
Cellulose Day 30	OTU.9810	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	uncultured	2.41896011425009	42.4	1.66452741939079
Cellulose Day 30	OTU.987	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Cohnella	1.43832782405971	39.3333333333333	1.01484081257447
Palmitic Acid Day 30	OTU.10019	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	3.30551798592707	36	0.549306144334055
Palmitic Acid Day 30	OTU.1004	Proteobacteria	Alphaproteobacteria	MNG3	uncultured_bacterium	NA	5.75254577958111	39.3333333333333	1.17150868898972
Palmitic Acid Day 30	OTU.10079	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pirellula	6.15153104513134	34	0.762140052046897
Palmitic Acid Day 30	OTU.1008	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	NA	0.421067305068457	40	1.73509512657455
Palmitic Acid Day 30	OTU.1013	Proteobacteria	Deltaproteobacteria	Myxococcales	0319-6G20	uncultured_delta_proteobacterium	1.68792594310105	39.3333333333333	1.83626993343623
Palmitic Acid Day 30	OTU.10185	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	0	34	0.762140052046897
Palmitic Acid Day 30	OTU.1036	Spirochaetes	Spirochaetales	Leptospiraceae	Turneriella	uncultured_bacterium	0.687925943101049	34	0.762140052046897
Palmitic Acid Day 30	OTU.104	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	NA	6.20555988813594	42.1666666666667	0.589190892361982
Palmitic Acid Day 30	OTU.1046	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	0.524445698257793	36	0.930376170357503
Palmitic Acid Day 30	OTU.105	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	uncultured	2.89374175218092	38	0.366204096222703
Palmitic Acid Day 30	OTU.1062	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Zavarzinella	0	36	1.16537798498037
Palmitic Acid Day 30	OTU.10634	Actinobacteria	Propionibacteriales	Nocardioidaceae	Nocardioides	NA	4.91500789659084	34	0.762140052046897
Palmitic Acid Day 30	OTU.1065	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	uncultured	0	41.25	1.42089494183467
Palmitic Acid Day 30	OTU.10663	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	1.89620137002693	42.2	1.5258979832788
Palmitic Acid Day 30	OTU.10705	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	1.92803846075464	43.2857142857143	1.13568531659455
Palmitic Acid Day 30	OTU.10707	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	3.20918889668967	36	0.930376170357503
Palmitic Acid Day 30	OTU.1073	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4_lineage	5.65931940646354	36	1.16537798498037
Palmitic Acid Day 30	OTU.10770	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	3.22421323246671	34	0.762140052046897
Palmitic Acid Day 30	OTU.1110	Actinobacteria	Thermoleophilia	Solirubrobacterales	Patulibacteraceae	Patulibacter	0.834032929988735	36	0.930376170357503
Palmitic Acid Day 30	OTU.1113	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS_17	uncultured_bacterium	0	34	0.762140052046897
Palmitic Acid Day 30	OTU.1116	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	1.83403292998873	36	1.16537798498037
Palmitic Acid Day 30	OTU.11173	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	0	34	0.762140052046897
Palmitic Acid Day 30	OTU.11235	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Lentzea	NA	4.84272818265102	36	0.549306144334055
Palmitic Acid Day 30	OTU.11237	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	2.84423685703984	34	0.762140052046897
Palmitic Acid Day 30	OTU.11321	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	3.06329525669194	34	0.762140052046897
Palmitic Acid Day 30	OTU.1137	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	1.83403292998874	34	0.762140052046897
Palmitic Acid Day 30	OTU.11430	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	0	38	0.80471895621705
Palmitic Acid Day 30	OTU.1147	Proteobacteria	Gammaproteobacteria	34P16	NA	NA	2.12078122730559	40.5	1.70059869083108
Palmitic Acid Day 30	OTU.1153	Planctomycetes	Phycisphaerae	WD2101_soil_group	uncultured_bacterium	NA	0	36	0.930376170357503
Palmitic Acid Day 30	OTU.1161	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Candidatus_Microthrix	NA	2.00989652580455	34	0.762140052046897
Palmitic Acid Day 30	OTU.1169	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	0	36	0.930376170357503
Palmitic Acid Day 30	OTU.11704	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	uncultured	0	43.25	1.72798691343733
Palmitic Acid Day 30	OTU.1171	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS_17	uncultured_bacterium	7.07485197832112	40	1.97009694119742
Palmitic Acid Day 30	OTU.1174	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	uncultured	1.83408588685113	34	0.762140052046897
Palmitic Acid Day 30	OTU.1179	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	4.32924262014001	36	1.16537798498037
Palmitic Acid Day 30	OTU.11824	Proteobacteria	Deltaproteobacteria	Myxococcales	Sorangiineae	uncultured	0	39.3333333333333	1.26888749659011
Palmitic Acid Day 30	OTU.119	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pir4_lineage	1.73864539018879	41	1.24760814669468
Palmitic Acid Day 30	OTU.12066	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	6.84885304678995	40	0.185484336182344
Palmitic Acid Day 30	OTU.121	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	6.71678527272546	41	0.578074351579233
Palmitic Acid Day 30	OTU.12193	Actinobacteria	Micrococcales	Microbacteriaceae	Agromyces	NA	5.64895058027093	40	0.0344964357434757
Palmitic Acid Day 30	OTU.1232	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	5.89222518276939	39.6666666666667	1.49993655677675
Palmitic Acid Day 30	OTU.12422	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	6.20301113223533	36	0.930376170357503
Palmitic Acid Day 30	OTU.12507	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	6.0476358623017	34	0
Palmitic Acid Day 30	OTU.1252	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Candidatus_Microthrix	uncultured_bacterium	4.72020337168229	34	0.762140052046897
Palmitic Acid Day 30	OTU.1257	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	4.24663952025889	36	0.549306144334055
Palmitic Acid Day 30	OTU.127	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	uncultured	8.17183559030769	39.6666666666667	0.99184318874549
Palmitic Acid Day 30	OTU.1273	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flexibacter	4.41322237584711	36	0.549306144334055
Palmitic Acid Day 30	OTU.128	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Devosia	6.44814298048508	41.5	1.19182225886613
Palmitic Acid Day 30	OTU.12810	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina	6.31712405427836	43.2857142857143	1.07776172972196
Palmitic Acid Day 30	OTU.12829	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	5.26680378638843	36	0.930376170357503
Palmitic Acid Day 30	OTU.1285	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS_17	uncultured_bacterium	0	34	0.762140052046897
Palmitic Acid Day 30	OTU.12883	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Candidatus_Microthrix	NA	0	34	0.762140052046897
Palmitic Acid Day 30	OTU.12896	Acidobacteria	Candidatus_Chloracidobacterium	uncultured_bacterium	NA	NA	7.95422142645755	36	0.549306144334055
Palmitic Acid Day 30	OTU.1295	Chloroflexi	Chloroflexales	FFCH7168	uncultured_bacterium	NA	4.90969923185081	34	0.762140052046897
Palmitic Acid Day 30	OTU.12986	Proteobacteria	Deltaproteobacteria	Myxococcales	0319-6G20	uncultured_bacterium	0	34	0.762140052046897
Palmitic Acid Day 30	OTU.12999	Chloroflexi	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	uncultured_Chloroflexi_bacterium	4.13595087361892	36	0.549306144334055
Palmitic Acid Day 30	OTU.1300	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae	Acidiferrobacter	3.59242408203922	34	0.762140052046897
Palmitic Acid Day 30	OTU.13082	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	7.23106628996688	36	0.549306144334055
Palmitic Acid Day 30	OTU.13083	Proteobacteria	Deltaproteobacteria	Myxococcales	Sorangiineae	Polyangiaceae	0	34	0.762140052046897
Palmitic Acid Day 30	OTU.131	Proteobacteria	Deltaproteobacteria	Myxococcales	0319-6G20	uncultured_bacterium	4.00988590396782	39.3333333333333	1.26888749659011
Palmitic Acid Day 30	OTU.13168	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA	2.35048243909153	39.3333333333333	0.449975572316339
Palmitic Acid Day 30	OTU.13192	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	0	43.2857142857143	1.45476991966699
Palmitic Acid Day 30	OTU.13227	Proteobacteria	Deltaproteobacteria	Myxococcales	Sorangiineae	Polyangiaceae	0	34	0.762140052046897
Palmitic Acid Day 30	OTU.13238	Acidobacteria	Holophagae	43F-1404R	uncultured_bacterium	NA	3.6134247058589	34	0.762140052046897
Palmitic Acid Day 30	OTU.13269	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Pseudoxanthomonas	4.28481332267541	41	1.05707313368296
Palmitic Acid Day 30	OTU.133	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	2.62064152340074	39.3333333333333	1.83626993343623
Palmitic Acid Day 30	OTU.13362	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	NA	0	34	0.762140052046897
Palmitic Acid Day 30	OTU.13371	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	uncultured	3.62551053671816	36	0.930376170357503
Palmitic Acid Day 30	OTU.1338	Verrucomicrobia	Spartobacteria	Chthoniobacterales	FukuN18_freshwater_group	NA	3.68795249813277	36	0.549306144334055
Palmitic Acid Day 30	OTU.13402	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA	8.55970201912237	40	1.35402510055111
Palmitic Acid Day 30	OTU.13481	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Haloferula	5.99006756164319	36	0.549306144334055
Palmitic Acid Day 30	OTU.1354	Proteobacteria	Deltaproteobacteria	Myxococcales	0319-6G20	uncultured_bacterium	4.8127571425831	36	0.930376170357503
Palmitic Acid Day 30	OTU.13547	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	2.93964302654479	43.25	1.72798691343733
Palmitic Acid Day 30	OTU.13550	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	3.78374714802908	34	0.762140052046897
Palmitic Acid Day 30	OTU.13635	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured_bacterium	4.92231038199564	34	0.762140052046897
Palmitic Acid Day 30	OTU.1364	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	0	36	0.168236118310606
Palmitic Acid Day 30	OTU.1369	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Rhodopirellula	6.46908205282309	36	1.16537798498037
Palmitic Acid Day 30	OTU.13724	Proteobacteria	Deltaproteobacteria	Myxococcales	Sorangiineae	Polyangiaceae	4.18830757084337	34	0.762140052046897
Palmitic Acid Day 30	OTU.13770	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Candidatus_Microthrix	NA	0	34	0.762140052046897
Palmitic Acid Day 30	OTU.13814	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Haloferula	0	36	0.549306144334055
Palmitic Acid Day 30	OTU.1383	Chloroflexi	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	uncultured_Chloroflexi_bacterium	5.06891133504039	39.3333333333333	1.01484081257447
Palmitic Acid Day 30	OTU.1384	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Pirellula	5.31237233782183	34	0.762140052046897
Palmitic Acid Day 30	OTU.1388	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Planctomyces	2.52444569825779	36	1.16537798498037
Palmitic Acid Day 30	OTU.13905	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Iamia	2.99304655703191	34	0.762140052046897
Palmitic Acid Day 30	OTU.13913	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Haloferula	0	36	0.549306144334055
Palmitic Acid Day 30	OTU.13949	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	NA	6.25015716724693	40	1.35402510055111
Palmitic Acid Day 30	OTU.1408	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	1.00610304319516	36	0.549306144334055
Palmitic Acid Day 30	OTU.1414	Bacteroidetes	VC2.1_Bac22	uncultured_bacterium	NA	NA	0	36	0.930376170357503
Palmitic Acid Day 30	OTU.1463	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	uncultured	2.16850950703438	34	0.762140052046897
Palmitic Acid Day 30	OTU.148	Planctomycetes	Planctomycetacia	Planctomycetales	Planctomycetaceae	Gemmata	1.93594224318414	41.25	1.61142995484639
Palmitic Acid Day 30	OTU.1480	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	0	34	0.762140052046897
Palmitic Acid Day 30	OTU.1482	Verrucomicrobia	Opitutae	Opitutales	NA	NA	5.44084635926074	36	0.930376170357503
